Column_1,Column_1_Link,Column_2,Column_2_Link,Column_3,Column_3_Link,Column_4,Column_4_Link,Column_5,Column_5_Link,Column_6,Column_6_Link,Column_7,Column_7_Link,Column_8,Column_8_Link,Column_9,Column_9_Link,Column_10,Column_10_Link,Column_11,Column_11_Link,Column_12,Column_12_Link,Column_13,Column_13_Link,Column_14,Column_14_Link,Column_15,Column_15_Link,Column_16,Column_16_Link,Column_17,Column_17_Link,Column_18,Column_18_Link,Column_19,Column_19_Link,Column_20,Column_20_Link,Column_21,Column_21_Link,Column_22,Column_22_Link,Column_23,Column_23_Link,Column_24,Column_24_Link,Column_25,Column_25_Link,Column_26,Column_26_Link
DSA by Shradha Didi & Aman Bhaiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet us on Youtube (Apna College),https://www.youtube.com/c/ApnaCollegeOfficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,How to solve this sheet?,https://www.youtube.com/watch?v=u6Xsayqxij0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal Time : 5-10 mins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy,,Ideal Time : 5-10 mins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,,Ideal Time : 15-20 mins,,5 Questions each Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard,,Ideal Time : 40-60 mins (based on Qs) | 88 Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics,,Question (375),,link,,Companies,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Maximum and Minimum Element in an Array,https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/, ABCO Accolite Amazon Cisco Hike Microsoft Snapdeal VMWare Google Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Reverse the Array,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/, Infosys Moonfrog Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Maximum-Subarray,https://leetcode.com/problems/maximum-subarray/,Microsoft + Facebook Interview Qs,,use Kadane's Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Amazon Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Chocolate Distribution Problem,https://www.geeksforgeeks.org/chocolate-distribution-problem/,Amazon Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/, Microsoft Google Adobe Amazon D-E-Shaw Flipkart Hike Intuit MakeMyTrip Paytm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Next Permutation,https://leetcode.com/problems/next-permutation/,Uber + Goldman Sachs + Adobe Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Best time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Amazon D-E-Shaw Directi Flipkart Goldman Sachs Intuit MakeMyTrip Microsoft Ola Cabs Oracle Paytm Pubmatic Quikr Salesforce Sapient Swiggy Walmart Media.net Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Repeat and Missing Number Array,https://www.interviewbit.com/problems/repeat-and-missing-number-array/,Amazon Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Kth-Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/, Amazon Microsoft Walmart Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Samsung Interview Qs,,use auxiliary arrays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Microsoft + Facebook Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Amazon D-E-Shaw Microsoft Morgan Stanley OYO Rooms Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/, Adobe Amazon Microsoft Morgan Stanley Samsung Snapdeal Times Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Find Pair with Sum in Sorted & Rotated Array,https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/?ref=lbp,Microsoft + Google + Apple Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,3Sum,https://leetcode.com/problems/3sum/, Adobe Amazon Microsoft Morgan Stanley Samsung Snapdeal Times Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Flipkart + Dunzo Interview Qs,,use 2 pointer approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Given Sum Pair,https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/,Infosys + Amazon + Flipkart Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Kth - Smallest Element,https://practice.geeksforgeeks.org/problems/kth-smallest-element5635/1, ABCO Accolite Amazon Cisco Hike Microsoft Snapdeal VMWare Google Adobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrays,,Merge Overlapping Intervals,https://www.geeksforgeeks.org/merging-intervals/,Google Interview Qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
